فیفا ڈائری (آٹھواں دن): ورلڈ کپ کی کوریج میں ڈیڈلائن کا دباؤ بہت ہوتا ہے, 25 نومبر 2022,اس سلسلے کی بقیہ اقساط 
نئے سپہ سالار کی آمد: ’چین و امریکا سے پہلے پاکستان کو اہمیت دی جائے گی‘, 25 نومبر 2022,سیاست سے دلچسپی رکھنے والے کارکنوں اور بہت ہی بڑی تعداد میں عام شہریوں کے لیے کل کا دن ایک خوشگوار اور غیر ہیجانی دن بن کر گزرا۔ سازشی ذہن بہت آزمودہ طریقہ اختیار کرتے رہے مگر جوں جوں دن بڑھتا گیا ایسے عوامل کو مایوسی ہوتی رہی۔
’قطر کا موازنہ دیگر عالمی کپ ٹیموں سے کرنا بے وقوفی تھی‘,اپ ڈیٹ 26 نومبر 2022,سب سے پہلے ٹورنامنٹ میں جگہ بنانے والا میزبان قطر عالمی کپ کی دوڑ سے باہر ہونے والا پہلا ملک بھی بن چکا۔ سچ پوچھیں تو حیرت نہیں ہوئی کیونکہ قطر کا موازنہ دیگر ٹیموں سے کرنا بے وقوفی تھی۔
اپریل، مئی میں انتخابات ہوتے دیکھ رہا ہوں، شیخ رشید,اپ ڈیٹ 25 نومبر 2022,عوامی مسلم لیگ کے سربراہ اور سابق وفاقی وزیر شیخ رشید نے کہا ہے کہ ملک میں قبل از وقت انتخابات اپریل، مئی میں ہوتے دیکھ رہا ہوں، یہ جامع صورت حال بنی ہے یا جو حوصلہ افزا حالات بنے ہیں یا بنائے گئے ہیں، یہ اسی کا حصہ ہے۔
’میرا دل یہ پکارے آجا‘ فیم ٹک ٹاکر کے ندا یاسر کے شو میں ڈانس کے چرچے,اپ ڈیٹ 25 نومبر 2022,گزشتہ چند دن سے انٹرنیٹ پر اپنے بے ترتیب ڈانس اسٹیپس سے لوگوں کو دیوانہ بنانے والی ٹک ٹاکرعائشہ عرف مانو کے ندا یاسر کے مارننگ شو میں گروپ ڈانس کی بھی ویڈیوز وائرل ہوگئیں۔
’پاک امریکا تعلقات کا فیصلہ وزیراعظم پاکستان نہیں، آرمی چیف کرتے ہیں‘,اپ ڈیٹ 23 نومبر 2022,سابق وزیر اعظم عمران خان کی اقتدار میں واپسی ہوگی یا نہیں لیکن اس کے امریکا اور پاکستان کے تعلقات کے مستقبل پر زیادہ اثرات مرتب نہیں ہوں گے کیونکہ اسلام آباد میں ایسے فیصلے وزیراعظم نہیں، آرمی چیف کرتے ہیں۔
صدر مملکت نے سمری پر دستخط کردیے، جنرل عاصم منیر پاکستان کے 17 ویں آرمی چیف مقرر,اپ ڈیٹ 24 نومبر 2022,صدر مملکت عارف علوی نے وزیراعظم شہباز شریف کی جانب سے بھیجی گئی اہم عسکری تقرریوں سے متعلق سمری پر دستخط کردیے، جس کے بعد جنرل عاصم منیر ملک کے 17 ویں آرمی چیف  اور جنرل ساحر شمشاد چیئرمین جوائنٹ چیفس آف اسٹاف کمیٹی بن گئے ہیں۔
نئے آرمی چیف جنرل عاصم منیر کون ہیں ؟,اپ ڈیٹ 24 نومبر 2022,کئی روز کی قیاس آرائیوں، توقعات اور اندیشوں کے بعد کہ فوج کے اعلیٰ عہدے پر تقرری میں تاخیر ہو سکتی ہے، وزیر اعظم شہباز شریف نے جنرل عاصم منیر کو 29 نومبر کو ریٹائر ہونے والے آرمی چیف جنرل قمر جاوید باجوہ کی جگہ بطور نیا آرمی چیف تعینات کردیا۔
وزیراعظم اور ڈی جی آئی ایس آئی کی اہم ملاقات, 24 نومبر 2022,    
headline,date_and_time,Details
ایک ارب ڈالر بونڈ کی ادائیگی مقررہ وقت سے قبل 2 دسمبر کو ہوگی، گورنر اسٹیٹ بینک,اپ ڈیٹ 25 نومبر 2022,اسٹیٹ بینک کے گورنر جمیل احمد نے کہا ہے کہ ایک ارب ڈالر انٹرنیشنل بونڈ کی دوبارہ ادائیگی مقررہ تاریخ سے 3 روز قبل 2 دسمبر کو ہوگی۔
اسٹیٹ بینک کا شرح سود بڑھا کر 16 فیصد کرنے کا اعلان,اپ ڈیٹ 25 نومبر 2022,اسٹیٹ بینک آف پاکستان نے شرح سود میں 100 بیسس پوائنٹس کا اضافہ کر دیا جس کے بعد شرح سود 16 فیصد پر پہنچ گئی۔
اسٹیٹ بینک کے ذخائر کم ہو کر 7 ارب 80 کروڑ ڈالر رہ گئے,اپ ڈیٹ 25 نومبر 2022,18 نومبر کو ختم ہونے والے ہفتے کے دوران اسٹیٹ بینک آف پاکستان کے زرمبادلہ کے ذخائر میں مزید 13 کروڑ 40 لاکھ ڈالر کی کمی ہوگئی جس کے بعد اس کے پاس موجود ذخائر 7 ارب 80 کروڑ ڈالر رہ گئے۔
غذائی اجناس کی قیمتوں میں اضافے سے ہفتہ وار مہنگائی کی شرح 30.16 فیصد,اپ ڈیٹ 25 نومبر 2022,بنیادی غذائی اجناس بشمول پیاز، ٹماٹر اور دالوں کی قیمتوں میں ہوش ربا اضافے سے سالانہ بنیاد پر 24 نومبر کو ختم ہونے والے ہفتے میں مہنگائی کی شرح بڑھ کر 30.16 فیصد تک پہنچ گئی ہے۔
امریکا میں خام تیل کے اسٹاک میں کمی، خام تیل کی قیمت بڑھ کر 90 ڈالر فی بیرل ہوگئی,اپ ڈیٹ 24 نومبر 2022,چین میں کم طلب کے خدشات کے باوجود امریکا میں خام تیل کے اسٹاک میں توقع سے زیادہ کمی کے سبب عالمی منڈی میں خام تیل کی قیمتیں بڑھ کر 90 ڈالر فی بیرل کے قریب پہنچ گئیں۔
2 ہزار یا اس سے زائد ڈالر کی خریداری کیلئے اکاؤنٹ کھولنا لازمی قرار, 24 نومبر 2022,ڈالر کے انخلا اور اخراج  کو محدود کرنے کے لیے ایک بڑا اقدام کرتے ہوئے اسٹیٹ بینک آف پاکستان  نے 2 ہزار  یا اس سے زیادہ ڈالر کی خریداری سے قبل اکاؤنٹ کھولنا لازمی قرار دے دیا ہے۔
پاک ۔ افغان چمن بارڈر پر آمد و رفت بحال کرنے کیلئے مذاکرات ناکام,اپ ڈیٹ 20 نومبر 2022,پاک ۔ افغان چمن بارڈر دوبارہ بحال کرنے کے لیے پاکستان اور افغانستان حکام کے درمیان اہم اجلاس میں مذاکرات ایک بار پھر ناکام ہوگئے، جس کے نتیجے میں آج بھی پاک ۔ افغان سرحد تجارت کے لیے بند ہے۔
سیلاب سے فصلیں شدید متاثر، چاول کی برآمدات میں بڑی کمی کے خدشات منڈلانے لگے,اپ ڈیٹ 20 نومبر 2022,ملک کی تاریخ کے بدترین سیلاب کی وجہ سے فصلوں کو پہنچنے والے نقصان کے باعث سندھ میں پیداوار 30 فیصد تک کم ہونے کے خدشے کے پیش نظر چاول برآمد کنندگان مشکل صورتحال سے دوچار ہیں۔
ایف بی آر برآمد کنندگان کو 200 ارب روپے واپس کرنے میں ناکام,اپ ڈیٹ 23 نومبر 2022,رواں مالی سال میں برآمدی صنعتوں کے قابل ادائیگی ریفنڈز اور ٹیکس کریڈٹ میں 200 ارب روپے سے زائد کا اضافہ ہوا ہوگیا ہے، برآمد کنندگان نے ٹیکسٹائل یونٹس کو بند کرنے سے خبردار کیا ہے جب کہ لیکویڈیٹی کے شدید بحران نے ان کے لیے کام جاری رکھنا ناممکن بنا دیا ہے۔
پاکستان سمیت 7 ممالک شدید کرنسی بحران کا شکار,اپ ڈیٹ 23 نومبر 2022,جاپانی  مالیاتی ادارہ نومورا نے خبردار کیا ہے کہ پاکستان سمیت 7 ممالک شدید کرنسی بحران کا شکار ہیں۔
اشیائے خورونوش کی سرکاری اور ریٹیل قیمتوں میں بڑے فرق سے شہری پریشان,اپ ڈیٹ 23 نومبر 2022,پیٹرولیم مصنوعات، گیس اور بجلی کی بڑھتی قیمتوں کی وجہ سے پہلے ہی مشکلات کا شکار شہری سبزیوں اور اشیائے ضروریہ کی سرکاری اور ریٹیل قیمتوں میں پائے جانے والے بڑے فرق پر بحث و تکرار کرتے نظر آتے ہیں۔
ٹریڈنگ کارپوریشن کو چین اور آذربائیجان سے یوریا درآمد کرنے کی اجازت,اپ ڈیٹ 19 نومبر 2022,کابینہ کی اقتصادی رابطہ کمیٹی (ای سی سی) نے ٹریڈنگ کارپوریشن آف پاکستان (ٹی سی پی) کو حکومت سے حکومت  (جی ٹو جی) کے درمیان معاہدے کے تحت چین اور آذربائیجان سے ایک لاکھ 60 ہزار  ٹن یوریا درآمد کرنے کی اجازت دے دی۔
ڈیفالٹ کا خطرہ نہیں، سکوک بانڈ کی ادائیگی وقت پر کریں گے، اسحٰق ڈار,اپ ڈیٹ 19 نومبر 2022,وفاقی وزیر خزانہ اسحٰق ڈار نے کہا ہے کہ پاکستان کے ڈیفالٹ ہونے کی افواہوں کو یکسر مسترد کرتے ہوئے کہا ہے کہ پاکستان ایک ارب ڈالر کے سکوک بانڈ کی ادائیگی وقت پر کرے گا اور آنے والے ایک سال میں ہم نے جتنی ادائیگیاں کرنی ہیں، اس کا بھی انتظام ہو چکا ہے۔
"جنرل عاصم منیر کون ہیں؟
", 24 نومبر 2022,			
آئی ایم ایف سے مذاکرات کا نواں دور تاخیر کا شکار,اپ ڈیٹ 18 نومبر 2022,پاکستان اور عالمی مالیاتی فنڈ (آئی ایم ایف) کے درمیان جمعرات کو مذاکرات کا ایک اور دور ہوا لیکن رواں مالی سال کے لیے سیلاب سے متعلقہ مالی ضروریات کے بارے میں وضاحت اور درآمدی کنٹرول کے نتیجے میں آمدن میں کمی کے سبب زیر التوا 7 ارب ڈالر کے قرض پروگرام کے نویں جائزے پر باضابطہ بات چیت کے شیڈول کو حتمی شکل نہیں دی جاسکی۔
ہفتہ وار مہنگائی میں 0.62 فیصد کی معمولی کمی,اپ ڈیٹ 18 نومبر 2022,ضروری اشیا کی قیمتوں کا جائزہ لینے والے پیمانے (ایس پی آئی) کے تحت 17 ستمبر کو ہفتہ وار مہنگائی میں 0.62 فیصد کی معمولی کمی آگئی ہے، جس کی بنیادی وجہ ٹماٹر، دالیں اور خوردنی تیل سمیت غذائی اجناس کی قیمتوں میں کمی ہے۔
فیفا ڈائری (آٹھواں دن): ورلڈ کپ کی کوریج میں ڈیڈلائن کا دباؤ بہت ہوتا ہے, 25 نومبر 2022,اس سلسلے کی بقیہ اقساط 
نئے سپہ سالار کی آمد: ’چین و امریکا سے پہلے پاکستان کو اہمیت دی جائے گی‘, 25 نومبر 2022,سیاست سے دلچسپی رکھنے والے کارکنوں اور بہت ہی بڑی تعداد میں عام شہریوں کے لیے کل کا دن ایک خوشگوار اور غیر ہیجانی دن بن کر گزرا۔ سازشی ذہن بہت آزمودہ طریقہ اختیار کرتے رہے مگر جوں جوں دن بڑھتا گیا ایسے عوامل کو مایوسی ہوتی رہی۔
’قطر کا موازنہ دیگر عالمی کپ ٹیموں سے کرنا بے وقوفی تھی‘,اپ ڈیٹ 26 نومبر 2022,سب سے پہلے ٹورنامنٹ میں جگہ بنانے والا میزبان قطر عالمی کپ کی دوڑ سے باہر ہونے والا پہلا ملک بھی بن چکا۔ سچ پوچھیں تو حیرت نہیں ہوئی کیونکہ قطر کا موازنہ دیگر ٹیموں سے کرنا بے وقوفی تھی۔
اپریل، مئی میں انتخابات ہوتے دیکھ رہا ہوں، شیخ رشید,اپ ڈیٹ 25 نومبر 2022,عوامی مسلم لیگ کے سربراہ اور سابق وفاقی وزیر شیخ رشید نے کہا ہے کہ ملک میں قبل از وقت انتخابات اپریل، مئی میں ہوتے دیکھ رہا ہوں، یہ جامع صورت حال بنی ہے یا جو حوصلہ افزا حالات بنے ہیں یا بنائے گئے ہیں، یہ اسی کا حصہ ہے۔
’میرا دل یہ پکارے آجا‘ فیم ٹک ٹاکر کے ندا یاسر کے شو میں ڈانس کے چرچے,اپ ڈیٹ 25 نومبر 2022,گزشتہ چند دن سے انٹرنیٹ پر اپنے بے ترتیب ڈانس اسٹیپس سے لوگوں کو دیوانہ بنانے والی ٹک ٹاکرعائشہ عرف مانو کے ندا یاسر کے مارننگ شو میں گروپ ڈانس کی بھی ویڈیوز وائرل ہوگئیں۔
’پاک امریکا تعلقات کا فیصلہ وزیراعظم پاکستان نہیں، آرمی چیف کرتے ہیں‘,اپ ڈیٹ 23 نومبر 2022,سابق وزیر اعظم عمران خان کی اقتدار میں واپسی ہوگی یا نہیں لیکن اس کے امریکا اور پاکستان کے تعلقات کے مستقبل پر زیادہ اثرات مرتب نہیں ہوں گے کیونکہ اسلام آباد میں ایسے فیصلے وزیراعظم نہیں، آرمی چیف کرتے ہیں۔
صدر مملکت نے سمری پر دستخط کردیے، جنرل عاصم منیر پاکستان کے 17 ویں آرمی چیف مقرر,اپ ڈیٹ 24 نومبر 2022,صدر مملکت عارف علوی نے وزیراعظم شہباز شریف کی جانب سے بھیجی گئی اہم عسکری تقرریوں سے متعلق سمری پر دستخط کردیے، جس کے بعد جنرل عاصم منیر ملک کے 17 ویں آرمی چیف  اور جنرل ساحر شمشاد چیئرمین جوائنٹ چیفس آف اسٹاف کمیٹی بن گئے ہیں۔
حسنین لہری اور ارب پتی عرب اداکارہ لجین عضاضہ کے درمیان کیا چل رہا ہے؟, 23 نومبر 2022,پاکستان کے نامور ماڈل حنسین لہری نے 23 نومبر کو اماراتی ماڈل و اداکارہ  لجین عضاضة المعروف (ایل جے) کے ہمراہ رومانوی تصویر شیئر کی تو شوبز شخصیات اور مداحوں نے انہیں مبارک باد پیش کی۔
نئے آرمی چیف جنرل عاصم منیر کون ہیں ؟,اپ ڈیٹ 24 نومبر 2022,کئی روز کی قیاس آرائیوں، توقعات اور اندیشوں کے بعد کہ فوج کے اعلیٰ عہدے پر تقرری میں تاخیر ہو سکتی ہے، وزیر اعظم شہباز شریف نے جنرل عاصم منیر کو 29 نومبر کو ریٹائر ہونے والے آرمی چیف جنرل قمر جاوید باجوہ کی جگہ بطور نیا آرمی چیف تعینات کردیا۔
آرمی چیف کے آخری خطاب کے بعد مایا علی ٹوئٹر پر ٹاپ ٹرینڈ, 24 نومبر 2022,آرمی چیف جنرل قمر جاوید باجوہ کی جانب سے جی ایچ کیو میں 23 نومبر کو منعقد یوم شہدا کی تقریب سے الوداعی خطاب کے بعد ٹوئٹر پر اداکارہ مایا علی اچانک ٹاپ ٹرینڈ بن گئیں۔
وزیراعظم اور ڈی جی آئی ایس آئی کی اہم ملاقات, 24 نومبر 2022,    
